Estado,Proyecto,Fecha límite
Sin empezar,Publicar mi primer libro,30 de junio de 2024
Sin empezar,Definir el género y el esquema de la trama,
Sin empezar,"Establecer metas de escritura (por ejemplo, capítulos al mes)",
Sin empezar,Dedicar sesiones regulares a escribir,
Sin empezar,"Investigar opciones de publicación (tradicional, autopublicación)",
Sin empezar,Preparar una presentación o publicar el libro,
Sin empezar,Presentar el libro a posibles lectores,
En curso,Renovación del hogar,26 de abril de 2024
Completado,"Definir el alcance de la renovación (cocina, baño, etc.)",
Completado,Fijar un presupuesto y un plazo para el proyecto,
En curso,Investigar y contratar a profesionales o decidirme a hacerlo yo,
Sin empezar,"Seleccionar materiales y acabados (colores de pintura, accesorios, etc.)",
Sin empezar,Obtener los permisos necesarios para la construcción,
Sin empezar,Supervisar las obras de renovación y gestionar los posibles problemas,
Completado,Organizar un evento de caridad,4 de marzo de 2024
Completado,"Decidir el tipo de evento (subasta, carrera, cena de gala)",
Completado,Fijar un objetivo de recaudación de fondos,
Completado,Fijar el lugar y la fecha del evento,
Completado,Solicitar donaciones o patrocinios,
Completado,Promoción del evento en la comunidad y en las redes sociales,
Completado,Organizar el evento y recaudar donaciones,
